project_id,project_name,stream,industry,region,status,owner,budget_bn_rub,actual_effect_bn_rub,roi,risk_score,baseline_kpi,target_kpi,actual_kpi,decision
AI-001,AI diagnostic triage,Regional AI Development,Healthcare,Moscow,Pilot,Federal ministry,4.33,1.25,0.29,31.6,30.8,41.6,32.6,Stop
AI-002,AI diagnostic triage,Infrastructure,Healthcare,Khabarovsk Krai,Idea,Regional government,0.81,2.3,2.84,28.4,68.7,79.6,71.2,Scale
AI-003,Smart irrigation,Economy & Productivity,Agriculture,Irkutsk Oblast,Pilot,University center,1.69,4.38,2.58,79.2,84.7,104.1,97.3,Stop
AI-004,Energy loss detection,Talent & Competences,Energy,Nizhny Novgorod Oblast,Pilot,Federal ministry,1.45,1.69,1.17,82.2,11.2,12.2,11.5,Stop
AI-005,Fleet maintenance AI,Infrastructure,Transport & Logistics,Sakhalin Oblast,Pilot,Regional government,0.32,0.25,0.8,58.7,47.9,69.6,64.4,Stop
AI-006,Teacher workload copilot,Social Services & Quality of Life,Education,Moscow Oblast,Idea,State corporation,2.32,2.45,1.06,43.5,63.1,73.9,69.8,Improve
AI-007,Proactive service engine,Talent & Competences,Public Administration,Saint Petersburg,Pilot,Municipal operator,2.75,5.56,2.02,47.7,36.5,53.9,49.1,Scale
AI-008,Patient routing model,Regional AI Development,Healthcare,Tyumen Oblast,Verification,State corporation,1.04,3.19,3.07,51.6,90.5,127.6,107.9,Scale
AI-009,Crop yield forecast,Social Services & Quality of Life,Agriculture,Sakhalin Oblast,Scale,State corporation,0.29,0.32,1.09,55.6,67.0,78.1,69.8,Improve
AI-010,Medical document automation,Social Services & Quality of Life,Healthcare,Nizhny Novgorod Oblast,Pilot,State corporation,5.45,18.8,3.45,54.4,25.5,29.8,26.2,Scale
AI-011,Route optimization,Data,Transport & Logistics,Krasnoyarsk Krai,Scale,Federal ministry,5.96,3.51,0.59,58.2,34.7,45.0,41.3,Stop
AI-012,Route optimization,Technological Sovereignty,Transport & Logistics,Tyumen Oblast,Verification,State corporation,5.42,4.78,0.88,15.8,22.3,32.5,30.5,Stop
AI-013,Crop yield forecast,Data,Agriculture,Tomsk Oblast,Pilot,Federal ministry,3.94,8.6,2.18,64.9,25.8,37.7,31.3,Improve
